ResponseId,id,Age,Race,secular1_4religious,Eng,Eng_2_TEXT,Emp_status,Income,Education,Gender,pol_party,pol_party_4_TEXT,polSocConservative1_7liberal,polEconConservative1_7liberal,self1_other0,private1_public0,MG_1,MG_2,Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Rating_6,Rating_7,Rating_8,Rating_9,Rating_10,vignette_1,vignette_2,vignette_3,vignette_4,vignette_5,vignette_6,vignette_7,vignette_8,vignette_9,vignette_10,vignette_11,vignette_12,vignette_13,vignette_14,vignette_15,vignette_16,vignette_17
R_2ZJIGjFffBMYhHk,1,49,White or Caucasian,1,English,NA,Employed full time (30 hours or more a week),"$20,000 - $29,999",Some College,Female,Democrat,NA,7,7,0,0,5,5,5,5,5,3,2,3,2,3,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2ZJIGjFffBMYhHk,1,49,White or Caucasian,1,English,NA,Employed full time (30 hours or more a week),"$20,000 - $29,999",Some College,Female,Democrat,NA,7,7,0,0,5,5,6,5,6,2,2,2,2,5,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2ZJIGjFffBMYhHk,1,49,White or Caucasian,1,English,NA,Employed full time (30 hours or more a week),"$20,000 - $29,999",Some College,Female,Democrat,NA,7,7,0,0,5,5,5,5,5,3,3,3,3,5,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R_2ZJIGjFffBMYhHk,1,49,White or Caucasian,1,English,NA,Employed full time (30 hours or more a week),"$20,000 - $29,999",Some College,Female,Democrat,NA,7,7,0,0,5,5,6,5,5,2,3,5,3,5,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R_2ZJIGjFffBMYhHk,1,49,White or Caucasian,1,English,NA,Employed full time (30 hours or more a week),"$20,000 - $29,999",Some College,Female,Democrat,NA,7,7,0,0,5,5,6,5,6,3,3,5,5,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R_2wjAmtvYVuqLYUV,2,29,White or Caucasian,2,English,NA,Employed full time (30 hours or more a week),"$50,000 - $74,999",Bachelor's degree,Female,Democrat,NA,4,6,1,0,4,3,5,1,5,4,6,4,5,3,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R_2wjAmtvYVuqLYUV,2,29,White or Caucasian,2,English,NA,Employed full time (30 hours or more a week),"$50,000 - $74,999",Bachelor's degree,Female,Democrat,NA,4,6,1,0,5,6,4,3,5,5,4,4,3,5,5,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R_2wjAmtvYVuqLYUV,2,29,White or Caucasian,2,English,NA,Employed full time (30 hours or more a week),"$50,000 - $74,999",Bachelor's degree,Female,Democrat,NA,4,6,1,0,4,5,4,6,5,5,5,6,4,4,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R_2wjAmtvYVuqLYUV,2,29,White or Caucasian,2,English,NA,Employed full time (30 hours or more a week),"$50,000 - $74,999",Bachelor's degree,Female,Democrat,NA,4,6,1,0,4,5,4,3,6,3,4,5,3,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R_2wjAmtvYVuqLYUV,2,29,White or Caucasian,2,English,NA,Employed full time (30 hours or more a week),"$50,000 - $74,999",Bachelor's degree,Female,Democrat,NA,4,6,1,0,5,4,6,7,7,5,5,5,4,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
