response_id,id,age,race,secular1_4religious,eng,eng_2_text,emp_status,income,education,gender,pol_party,pol_party_4_text,pol_soc_conservative1_7liberal,pol_econ_conservative1_7liberal,condition,vignette,private1_public0,self1_other0_engagement,self1_other0_rating,mg,tr,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8,motive_9,motive_10,vignette_1,vignette_2,vignette_3,vignette_4,vignette_5,vignette_6,vignette_7,vignette_8,vignette_9,vignette_10,vignette_11,vignette_12,vignette_13,vignette_14,vignette_15,vignette_16,vignette_17
R_2wgURbeB3qhu8ew,1,31,American Indian/Native American or Alaska Native,3,English,NA,Unemployed and not currently looking for work,"$74,999- $99,999",High school / GED,Male,Republican,NA,2,2,Private_Self_Other,vignette_2,1,1,0,6,6,6,6,6,4,5,5,5,6,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2wgURbeB3qhu8ew,1,31,American Indian/Native American or Alaska Native,3,English,NA,Unemployed and not currently looking for work,"$74,999- $99,999",High school / GED,Male,Republican,NA,2,2,Private_Self_Other,vignette_3,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_2wgURbeB3qhu8ew,1,31,American Indian/Native American or Alaska Native,3,English,NA,Unemployed and not currently looking for work,"$74,999- $99,999",High school / GED,Male,Republican,NA,2,2,Private_Self_Other,vignette_8,1,1,0,2,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R_2wgURbeB3qhu8ew,1,31,American Indian/Native American or Alaska Native,3,English,NA,Unemployed and not currently looking for work,"$74,999- $99,999",High school / GED,Male,Republican,NA,2,2,Private_Self_Other,vignette_11,1,1,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
R_2wgURbeB3qhu8ew,1,31,American Indian/Native American or Alaska Native,3,English,NA,Unemployed and not currently looking for work,"$74,999- $99,999",High school / GED,Male,Republican,NA,2,2,Private_Self_Other,vignette_14,1,1,0,4,2,6,6,6,4,2,2,2,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R_3PThoSyIYXeEFmF,2,34,White or Caucasian,2,English,NA,Self-employed,"$74,999- $99,999","Postgraduate degree (e.g., Master's Degree, Professional Degree, Doctorate Degree)",Male,Independent,NA,5,3,Public_Other_Self,vignette_3,0,0,1,4,4,5,5,5,3,5,6,5,4,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_3PThoSyIYXeEFmF,2,34,White or Caucasian,2,English,NA,Self-employed,"$74,999- $99,999","Postgraduate degree (e.g., Master's Degree, Professional Degree, Doctorate Degree)",Male,Independent,NA,5,3,Public_Other_Self,vignette_6,0,0,1,4,3,3,3,3,5,5,5,5,3,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R_3PThoSyIYXeEFmF,2,34,White or Caucasian,2,English,NA,Self-employed,"$74,999- $99,999","Postgraduate degree (e.g., Master's Degree, Professional Degree, Doctorate Degree)",Male,Independent,NA,5,3,Public_Other_Self,vignette_12,0,0,1,5,4,5,5,5,3,5,6,6,5,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R_3PThoSyIYXeEFmF,2,34,White or Caucasian,2,English,NA,Self-employed,"$74,999- $99,999","Postgraduate degree (e.g., Master's Degree, Professional Degree, Doctorate Degree)",Male,Independent,NA,5,3,Public_Other_Self,vignette_13,0,0,1,5,5,4,5,5,3,3,3,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R_3PThoSyIYXeEFmF,2,34,White or Caucasian,2,English,NA,Self-employed,"$74,999- $99,999","Postgraduate degree (e.g., Master's Degree, Professional Degree, Doctorate Degree)",Male,Independent,NA,5,3,Public_Other_Self,vignette_15,0,0,1,4,4,3,3,3,5,5,6,6,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R_3CT4P6YXOJKDunc,3,28,White or Caucasian,2,English,NA,Self-employed,"$10,000 - $19,999",Associate degree,Female,Independent,NA,2,2,Public_Other_Self,vignette_9,0,0,1,5,4,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R_3CT4P6YXOJKDunc,3,28,White or Caucasian,2,English,NA,Self-employed,"$10,000 - $19,999",Associate degree,Female,Independent,NA,2,2,Public_Other_Self,vignette_10,0,0,1,5,4,5,5,4,4,4,5,4,5,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R_3CT4P6YXOJKDunc,3,28,White or Caucasian,2,English,NA,Self-employed,"$10,000 - $19,999",Associate degree,Female,Independent,NA,2,2,Public_Other_Self,vignette_11,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
R_3CT4P6YXOJKDunc,3,28,White or Caucasian,2,English,NA,Self-employed,"$10,000 - $19,999",Associate degree,Female,Independent,NA,2,2,Public_Other_Self,vignette_13,0,0,1,6,4,5,5,4,4,4,4,4,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R_3CT4P6YXOJKDunc,3,28,White or Caucasian,2,English,NA,Self-employed,"$10,000 - $19,999",Associate degree,Female,Independent,NA,2,2,Public_Other_Self,vignette_14,0,0,1,6,4,6,4,5,4,5,5,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
